locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBBPGFGJ_00099	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
EBBPGFGJ_00100	CDS	1710	araB	2.7.1.16	COG1069	Ribulokinase
EBBPGFGJ_00101	CDS	846	araC		COG4977	Arabinose operon regulatory protein
EBBPGFGJ_00102	CDS	768	yabI		COG0586	Inner membrane protein YabI
EBBPGFGJ_00103	CDS	708	thiQ	7.6.2.15		Thiamine import ATP-binding protein ThiQ
EBBPGFGJ_00104	CDS	1611	thiP			Thiamine transport system permease protein ThiP
EBBPGFGJ_00105	CDS	984	thiB			Thiamine-binding periplasmic protein
EBBPGFGJ_00106	CDS	1659	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
EBBPGFGJ_00107	CDS	123	sgrT			Putative inhibitor of glucose uptake transporter SgrT
EBBPGFGJ_00108	CDS	606	leuD1	4.2.1.33		3-isopropylmalate dehydratase small subunit 1
EBBPGFGJ_00109	CDS	1401	leuC1	4.2.1.33		3-isopropylmalate dehydratase large subunit 1
EBBPGFGJ_00110	CDS	1092	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
EBBPGFGJ_00111	CDS	1572	leuA	2.3.3.13		2-isopropylmalate synthase
EBBPGFGJ_00112	CDS	945	leuO_2		COG0583	HTH-type transcriptional regulator LeuO
EBBPGFGJ_00113	CDS	1638	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
EBBPGFGJ_00114	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
EBBPGFGJ_00115	CDS	1005	cra		COG1609	Catabolite repressor/activator
EBBPGFGJ_00116	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
EBBPGFGJ_00117	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
EBBPGFGJ_00118	CDS	366	ftsL		COG3116	Cell division protein FtsL
EBBPGFGJ_00119	CDS	1767	ftsI_1			penicillin-binding protein PBP3 FtsI
EBBPGFGJ_00120	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
EBBPGFGJ_00121	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EBBPGFGJ_00122	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
EBBPGFGJ_00123	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
EBBPGFGJ_00124	CDS	1245	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
EBBPGFGJ_00125	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
EBBPGFGJ_00126	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
EBBPGFGJ_00127	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
EBBPGFGJ_00128	CDS	831	ftsQ			Cell division protein FtsQ
EBBPGFGJ_00129	CDS	1263	ftsA		COG0849	Cell division protein FtsA
EBBPGFGJ_00130	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
EBBPGFGJ_00131	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
EBBPGFGJ_00132	CDS	498	secM			Secretion monitor
EBBPGFGJ_00133	CDS	2706	secA	7.4.2.8	COG0653	Protein translocase subunit SecA
EBBPGFGJ_00134	CDS	396	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
EBBPGFGJ_00135	CDS	192	yacG		COG3024	DNA gyrase inhibitor YacG
EBBPGFGJ_00136	CDS	744	zapD			Cell division protein ZapD
EBBPGFGJ_00137	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
EBBPGFGJ_00138	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
EBBPGFGJ_00139	CDS	1203	pilC			Type IV pilus assembly protein PilC
EBBPGFGJ_00140	CDS	1386	pilB		COG2804	Type IV pilus assembly ATPase PilB
EBBPGFGJ_00141	CDS	438	ppdD		COG4969	Prepilin peptidase-dependent protein D
EBBPGFGJ_00142	CDS	894	nadC	2.4.2.19		Nicotinate-nucleotide pyrophosphorylase [carboxylating]
EBBPGFGJ_00143	CDS	564	ampD	3.5.1.28		1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
EBBPGFGJ_00144	CDS	855	ampE		COG3725	Protein AmpE
EBBPGFGJ_00145	CDS	951		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
EBBPGFGJ_00146	CDS	1407	yicJ_1		COG2211	Inner membrane symporter YicJ
EBBPGFGJ_00147	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
EBBPGFGJ_00148	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
EBBPGFGJ_00149	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
EBBPGFGJ_00150	CDS	1890	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
EBBPGFGJ_00151	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
EBBPGFGJ_00152	CDS	285				hypothetical protein
EBBPGFGJ_00153	CDS	792				hypothetical protein
EBBPGFGJ_00154	CDS	1623				hypothetical protein
EBBPGFGJ_00155	CDS	2598	acnB	4.2.1.3		Aconitate hydratase B
EBBPGFGJ_00156	CDS	843				hypothetical protein
EBBPGFGJ_00157	CDS	363				hypothetical protein
EBBPGFGJ_00158	CDS	954	kdgT_1			2-keto-3-deoxygluconate permease
EBBPGFGJ_00159	CDS	1272	dtnK	2.7.1.219		D-threonate kinase
EBBPGFGJ_00160	CDS	984	pdxA2	1.1.1.408		D-threonate 4-phosphate dehydrogenase
EBBPGFGJ_00161	CDS	768	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
EBBPGFGJ_00162	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
EBBPGFGJ_00163	CDS	861	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
EBBPGFGJ_00164	CDS	387				hypothetical protein
EBBPGFGJ_00165	CDS	1611	cueO	1.16.3.4		Multicopper oxidase CueO
EBBPGFGJ_00166	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
EBBPGFGJ_00167	CDS	537	hpt	2.4.2.8		Hypoxanthine phosphoribosyltransferase
EBBPGFGJ_00168	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
EBBPGFGJ_00169	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
EBBPGFGJ_00170	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
EBBPGFGJ_00171	CDS	1080	lpfD_1		COG3539	putative minor fimbrial subunit LpfD
EBBPGFGJ_00172	CDS	2559	fimD_1		COG3188	Outer membrane usher protein FimD
EBBPGFGJ_00173	CDS	684	fimC_1		COG3121	Chaperone protein FimC
EBBPGFGJ_00174	CDS	540	fimA_1			Type-1 fimbrial protein, A chain
EBBPGFGJ_00175	CDS	441				hypothetical protein
EBBPGFGJ_00176	CDS	1230				hypothetical protein
EBBPGFGJ_00177	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
EBBPGFGJ_00178	CDS	855	panC	6.3.2.1		Pantothenate synthetase
EBBPGFGJ_00179	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
EBBPGFGJ_00180	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
EBBPGFGJ_00181	CDS	1419	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
EBBPGFGJ_00182	CDS	942	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
EBBPGFGJ_00183	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
EBBPGFGJ_00184	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
EBBPGFGJ_00185	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
EBBPGFGJ_00186	CDS	2475	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
EBBPGFGJ_00187	CDS	2523	mrcB		COG0744	Penicillin-binding protein 1B
EBBPGFGJ_00188	CDS	2190	fhuA_1		COG4774	Ferrichrome outer membrane transporter/phage receptor
EBBPGFGJ_00189	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
EBBPGFGJ_00190	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
EBBPGFGJ_00191	CDS	2058	fhuB			Iron(3+)-hydroxamate import system permease protein FhuB
EBBPGFGJ_00192	CDS	207				hypothetical protein
EBBPGFGJ_00193	CDS	561	smfA			Fimbria A protein
EBBPGFGJ_00194	CDS	2658	steB			fimbrial biogenesis outer membrane usher protein SteB
EBBPGFGJ_00195	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
EBBPGFGJ_00196	CDS	513	yfcR		COG3539	putative fimbrial-like protein YfcR
EBBPGFGJ_00197	CDS	477	yfcQ		COG3539	putative fimbrial-like protein YfcQ
EBBPGFGJ_00198	CDS	531	yfcP		COG3539	putative fimbrial-like protein YfcP
EBBPGFGJ_00199	CDS	840	yfcO			putative protein YfcO
EBBPGFGJ_00200	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
EBBPGFGJ_00201	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
EBBPGFGJ_00202	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
EBBPGFGJ_00203	CDS	624				hypothetical protein
EBBPGFGJ_00204	CDS	801	btuF		COG0614	Vitamin B12-binding protein
EBBPGFGJ_00205	CDS	699	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EBBPGFGJ_00206	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
EBBPGFGJ_00207	CDS	1428	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
EBBPGFGJ_00208	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
EBBPGFGJ_00209	CDS	387				hypothetical protein
EBBPGFGJ_00210	CDS	1302	shiA		COG0477	Shikimate transporter
EBBPGFGJ_00211	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
EBBPGFGJ_00212	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
EBBPGFGJ_00213	CDS	795	map	3.4.11.18		Methionine aminopeptidase
EBBPGFGJ_00214	CDS	726	rpsB		COG0052	Small ribosomal subunit protein uS2
EBBPGFGJ_00215	CDS	924	tsf		COG0264	Elongation factor Ts
EBBPGFGJ_00216	CDS	726	pyrH	2.7.4.22		Uridylate kinase
EBBPGFGJ_00217	CDS	558	frr		COG0233	Ribosome-recycling factor
EBBPGFGJ_00218	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
EBBPGFGJ_00219	CDS	690	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EBBPGFGJ_00220	CDS	858	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
EBBPGFGJ_00221	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
EBBPGFGJ_00222	CDS	2415	bamA			Outer membrane protein assembly factor BamA
EBBPGFGJ_00223	CDS	486	skp			Chaperone protein Skp
EBBPGFGJ_00224	CDS	1026	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EBBPGFGJ_00225	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
EBBPGFGJ_00226	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EBBPGFGJ_00227	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
EBBPGFGJ_00228	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EBBPGFGJ_00229	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
EBBPGFGJ_00230	CDS	960	accA	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
EBBPGFGJ_00231	CDS	1764				hypothetical protein
EBBPGFGJ_00232	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
EBBPGFGJ_00233	CDS	390				hypothetical protein
EBBPGFGJ_00234	CDS	1293	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
EBBPGFGJ_00235	CDS	261	rof		COG4568	Protein rof
EBBPGFGJ_00236	CDS	201				hypothetical protein
EBBPGFGJ_00237	CDS	546	yaeQ		COG4681	putative protein YaeQ
EBBPGFGJ_00238	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
EBBPGFGJ_00239	CDS	531	nlpE		COG3015	Lipoprotein NlpE
EBBPGFGJ_00240	CDS	1719	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
EBBPGFGJ_00241	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
EBBPGFGJ_00242	CDS	405	rcsF			Outer membrane lipoprotein RcsF
EBBPGFGJ_00243	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
EBBPGFGJ_00244	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
EBBPGFGJ_00245	CDS	1032	metN_1	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
EBBPGFGJ_00246	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
EBBPGFGJ_00247	CDS	255				hypothetical protein
EBBPGFGJ_00248	tRNA	77				tRNA-Ile(gat)
EBBPGFGJ_00249	tRNA	76				tRNA-Ala(tgc)
EBBPGFGJ_00250	tRNA	77				tRNA-Asp(gtc)
EBBPGFGJ_00251	CDS	804	dkgB	1.1.1.-	COG0656	Methylglyoxal reductase DkgB
EBBPGFGJ_00252	CDS	915	crgA			HTH-type transcriptional regulator CrgA
EBBPGFGJ_00253	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
EBBPGFGJ_00254	CDS	801				hypothetical protein
EBBPGFGJ_00255	CDS	771	ycgJ	2.1.1.-	COG2226	putative methyltransferase YcgJ
EBBPGFGJ_00256	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
EBBPGFGJ_00257	CDS	756	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
EBBPGFGJ_00258	CDS	723	bioC_1	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
EBBPGFGJ_00259	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
EBBPGFGJ_00260	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
EBBPGFGJ_00261	tRNA	77				tRNA-Asp(gtc)
EBBPGFGJ_00262	CDS	1056	tssA1			Type VI secretion system component TssA1
EBBPGFGJ_00263	CDS	996				hypothetical protein
EBBPGFGJ_00264	CDS	1884	tssF1			Type VI secretion system component TssF1
EBBPGFGJ_00265	CDS	495	tssE1			Type VI secretion system component TssE1
EBBPGFGJ_00266	CDS	825	tagJ			Type VI secretion system accessory component TagJ
EBBPGFGJ_00267	CDS	903				hypothetical protein
EBBPGFGJ_00268	CDS	2640	clpV1			AAA+ ATPase ClpV1
EBBPGFGJ_00269	CDS	543	tssB1			Type VI secretion system sheath protein TssB1
EBBPGFGJ_00270	CDS	1509	tssC1			Type VI secretion system sheath protein TssC1
EBBPGFGJ_00271	CDS	447				hypothetical protein
EBBPGFGJ_00272	CDS	486	hcp1_1			Protein hcp1
EBBPGFGJ_00273	CDS	486				hypothetical protein
EBBPGFGJ_00274	CDS	372				hypothetical protein
EBBPGFGJ_00275	CDS	486	hcp1_2			Protein hcp1
EBBPGFGJ_00276	CDS	537				hypothetical protein
EBBPGFGJ_00277	CDS	1344	tssK1			Type VI secretion system baseplate component TssK1
EBBPGFGJ_00278	CDS	1305	pal_1			Peptidoglycan-associated lipoprotein
EBBPGFGJ_00279	CDS	774				hypothetical protein
EBBPGFGJ_00280	CDS	357				hypothetical protein
EBBPGFGJ_00281	CDS	3870	icmF			type VI secretion protein IcmF
EBBPGFGJ_00282	CDS	789				hypothetical protein
EBBPGFGJ_00283	CDS	387				hypothetical protein
EBBPGFGJ_00284	CDS	519				hypothetical protein
EBBPGFGJ_00285	CDS	2190	vgrG1a			Type VI secretion system spike protein VgrG1a
EBBPGFGJ_00286	CDS	447				hypothetical protein
EBBPGFGJ_00287	CDS	4095	dddA	3.5.4.-		Double-stranded DNA deaminase toxin A
EBBPGFGJ_00288	CDS	264				hypothetical protein
EBBPGFGJ_00289	CDS	774				hypothetical protein
EBBPGFGJ_00290	CDS	447				hypothetical protein
EBBPGFGJ_00291	CDS	138				hypothetical protein
EBBPGFGJ_00292	CDS	438				hypothetical protein
EBBPGFGJ_00293	CDS	276	symE_1	3.1.-.-		Endoribonuclease SymE
EBBPGFGJ_00294	CDS	252				hypothetical protein
EBBPGFGJ_00295	CDS	159				hypothetical protein
EBBPGFGJ_00296	CDS	198				hypothetical protein
EBBPGFGJ_00297	CDS	282				IS3 family transposase IS1351
EBBPGFGJ_00298	CDS	501				hypothetical protein
EBBPGFGJ_00299	CDS	714	caf1M			Chaperone protein caf1M
EBBPGFGJ_00300	CDS	2511	caf1A			F1 capsule-anchoring protein
EBBPGFGJ_00301	CDS	471				hypothetical protein
EBBPGFGJ_00302	CDS	822				hypothetical protein
EBBPGFGJ_00303	CDS	612				hypothetical protein
EBBPGFGJ_00304	CDS	948				HTH-type transcriptional regulator
EBBPGFGJ_00305	CDS	720	pagN			Outer membrane protein PagN
EBBPGFGJ_00306	CDS	408				hypothetical protein
EBBPGFGJ_00307	CDS	768	yafV	3.5.1.3	COG0388	Omega-amidase YafV
EBBPGFGJ_00308	CDS	2445	fadE	1.3.8.7		Acyl-coenzyme A dehydrogenase
EBBPGFGJ_00309	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
EBBPGFGJ_00310	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
EBBPGFGJ_00311	CDS	741	yafK_1	2.-.-.-	COG3034	Putative L,D-transpeptidase YafK
